id,english,current_kreol_in_product,proposed_kreol,status,reviewed_by,review_decision,notes
EMAIL-02,Sender domain differs from the known supplier's domain,,,not_drafted,,,"Workplace email/organisation flow, not part of the consumer Kreol scope yet."
EMAIL-03,Email authentication anomaly,,,not_drafted,,,"Workplace email/organisation flow, not part of the consumer Kreol scope yet."
EMAIL-04,Sender changed partway through the conversation,,,not_drafted,,,"Workplace email/organisation flow, not part of the consumer Kreol scope yet."
EMAIL-05,Risky attachment type,,,not_drafted,,,"Workplace email/organisation flow, not part of the consumer Kreol scope yet."
EMAIL-06,Bank details differ from the supplier's details on record,,,not_drafted,,,"Workplace email/organisation flow, not part of the consumer Kreol scope yet."
EMAIL-07,Beneficiary differs from the supplier's known payee,,,not_drafted,,,"Workplace email/organisation flow, not part of the consumer Kreol scope yet."
EMAIL-08,Display name does not fit the sending address,,,not_drafted,,,"Workplace email/organisation flow, not part of the consumer Kreol scope yet."
EMAIL-09,External sender using a colleague's or executive's identity,,,not_drafted,,,"Workplace email/organisation flow, not part of the consumer Kreol scope yet."
EMAIL-10,Financial request from an address not on record for this supplier,,,not_drafted,,,"Workplace email/organisation flow, not part of the consumer Kreol scope yet."
ORG-01,Sender domain imitates your organisation's domain,,,not_drafted,,,"Workplace email/organisation flow, not part of the consumer Kreol scope yet."
ORG-02,Link or reply address imitates your organisation's domain,,,not_drafted,,,"Workplace email/organisation flow, not part of the consumer Kreol scope yet."
ORG-03,"Outsider posing as your finance, payroll or IT team",,,not_drafted,,,"Workplace email/organisation flow, not part of the consumer Kreol scope yet."
ORG-04,First message from this sender,,,not_drafted,,,"Workplace email/organisation flow, not part of the consumer Kreol scope yet."
ORG-05,Previously confirmed as fraud by your organisation,,,not_drafted,,,"Workplace email/organisation flow, not part of the consumer Kreol scope yet."
ORG-06,Part of a campaign targeting your organisation,,,not_drafted,,,"Workplace email/organisation flow, not part of the consumer Kreol scope yet."
